Planning Area,Subzone,Age Group,Type of Dwelling,2024
Clementi,West Coast,70 - 74,Condominiums and Other Apartments,160
Clementi,West Coast,70 - 74,Landed Properties,160
Clementi,West Coast,70 - 74,Others,-
Clementi,West Coast,75 - 79,Total,210
Clementi,West Coast,75 - 79,Total HDB^,-
Clementi,West Coast,75 - 79,1- and 2-Room Flats*,-
Clementi,West Coast,75 - 79,3-Room Flats,-
Clementi,West Coast,75 - 79,4-Room Flats,-
Clementi,West Coast,75 - 79,5-Room and Executive Flats,-
Clementi,West Coast,75 - 79,Condominiums and Other Apartments,100
Clementi,West Coast,75 - 79,Landed Properties,120
Clementi,West Coast,75 - 79,Others,-
Clementi,West Coast,80 - 84,Total,120
Clementi,West Coast,80 - 84,Total HDB^,-
Clementi,West Coast,80 - 84,1- and 2-Room Flats*,-
Clementi,West Coast,80 - 84,3-Room Flats,-
Clementi,West Coast,80 - 84,4-Room Flats,-
Clementi,West Coast,80 - 84,5-Room and Executive Flats,-
Clementi,West Coast,80 - 84,Condominiums and Other Apartments,60
Clementi,West Coast,80 - 84,Landed Properties,50
Clementi,West Coast,80 - 84,Others,-
Clementi,West Coast,85 - 89,Total,60
Clementi,West Coast,85 - 89,Total HDB^,-
Clementi,West Coast,85 - 89,1- and 2-Room Flats*,-
Clementi,West Coast,85 - 89,3-Room Flats,-
Clementi,West Coast,85 - 89,4-Room Flats,-
Clementi,West Coast,85 - 89,5-Room and Executive Flats,-
Clementi,West Coast,85 - 89,Condominiums and Other Apartments,30
Clementi,West Coast,85 - 89,Landed Properties,30
Clementi,West Coast,85 - 89,Others,-
Clementi,West Coast,90 & Over,Total,30
Clementi,West Coast,90 & Over,Total HDB^,-
Clementi,West Coast,90 & Over,1- and 2-Room Flats*,-
Clementi,West Coast,90 & Over,3-Room Flats,-
Clementi,West Coast,90 & Over,4-Room Flats,-
Clementi,West Coast,90 & Over,5-Room and Executive Flats,-
Clementi,West Coast,90 & Over,Condominiums and Other Apartments,20
Clementi,West Coast,90 & Over,Landed Properties,20
Clementi,West Coast,90 & Over,Others,-
Downtown Core,Total,Total,Total,4660
Downtown Core,Total,Total,Total HDB^,570
Downtown Core,Total,Total,1- and 2-Room Flats*,-
Downtown Core,Total,Total,3-Room Flats,-
Downtown Core,Total,Total,4-Room Flats,570
Downtown Core,Total,Total,5-Room and Executive Flats,-
Downtown Core,Total,Total,Condominiums and Other Apartments,3760
Downtown Core,Total,Total,Landed Properties,-
Downtown Core,Total,Total,Others,330
Downtown Core,Total,0 - 4,Total,140
Downtown Core,Total,0 - 4,Total HDB^,-
Downtown Core,Total,0 - 4,1- and 2-Room Flats*,-
Downtown Core,Total,0 - 4,3-Room Flats,-
Downtown Core,Total,0 - 4,4-Room Flats,-
Downtown Core,Total,0 - 4,5-Room and Executive Flats,-
Downtown Core,Total,0 - 4,Condominiums and Other Apartments,130
Downtown Core,Total,0 - 4,Landed Properties,-
Downtown Core,Total,0 - 4,Others,10
Downtown Core,Total,5 - 9,Total,130
Downtown Core,Total,5 - 9,Total HDB^,10
Downtown Core,Total,5 - 9,1- and 2-Room Flats*,-
Downtown Core,Total,5 - 9,3-Room Flats,-
Downtown Core,Total,5 - 9,4-Room Flats,10
Downtown Core,Total,5 - 9,5-Room and Executive Flats,-
Downtown Core,Total,5 - 9,Condominiums and Other Apartments,110
Downtown Core,Total,5 - 9,Landed Properties,-
Downtown Core,Total,5 - 9,Others,10
Downtown Core,Total,10 - 14,Total,140
Downtown Core,Total,10 - 14,Total HDB^,10
Downtown Core,Total,10 - 14,1- and 2-Room Flats*,-
Downtown Core,Total,10 - 14,3-Room Flats,-
Downtown Core,Total,10 - 14,4-Room Flats,10
Downtown Core,Total,10 - 14,5-Room and Executive Flats,-
Downtown Core,Total,10 - 14,Condominiums and Other Apartments,110
Downtown Core,Total,10 - 14,Landed Properties,-
Downtown Core,Total,10 - 14,Others,10
Downtown Core,Total,15 - 19,Total,110
Downtown Core,Total,15 - 19,Total HDB^,10
Downtown Core,Total,15 - 19,1- and 2-Room Flats*,-
Downtown Core,Total,15 - 19,3-Room Flats,-
Downtown Core,Total,15 - 19,4-Room Flats,10
Downtown Core,Total,15 - 19,5-Room and Executive Flats,-
Downtown Core,Total,15 - 19,Condominiums and Other Apartments,90
Downtown Core,Total,15 - 19,Landed Properties,-
Downtown Core,Total,15 - 19,Others,10
Downtown Core,Total,20 - 24,Total,150
Downtown Core,Total,20 - 24,Total HDB^,20
Downtown Core,Total,20 - 24,1- and 2-Room Flats*,-
Downtown Core,Total,20 - 24,3-Room Flats,-
Downtown Core,Total,20 - 24,4-Room Flats,20
Downtown Core,Total,20 - 24,5-Room and Executive Flats,-
Downtown Core,Total,20 - 24,Condominiums and Other Apartments,120
Downtown Core,Total,20 - 24,Landed Properties,-
Downtown Core,Total,20 - 24,Others,10
Downtown Core,Total,25 - 29,Total,270
Downtown Core,Total,25 - 29,Total HDB^,40
Downtown Core,Total,25 - 29,1- and 2-Room Flats*,-
Downtown Core,Total,25 - 29,3-Room Flats,-
Downtown Core,Total,25 - 29,4-Room Flats,40
Downtown Core,Total,25 - 29,5-Room and Executive Flats,-
Downtown Core,Total,25 - 29,Condominiums and Other Apartments,230
Downtown Core,Total,25 - 29,Landed Properties,-
Downtown Core,Total,25 - 29,Others,10
Downtown Core,Total,30 - 34,Total,580
Downtown Core,Total,30 - 34,Total HDB^,30
Downtown Core,Total,30 - 34,1- and 2-Room Flats*,-
Downtown Core,Total,30 - 34,3-Room Flats,-
Downtown Core,Total,30 - 34,4-Room Flats,30
Downtown Core,Total,30 - 34,5-Room and Executive Flats,-
Downtown Core,Total,30 - 34,Condominiums and Other Apartments,520
Downtown Core,Total,30 - 34,Landed Properties,-
Downtown Core,Total,30 - 34,Others,30
Downtown Core,Total,35 - 39,Total,620
Downtown Core,Total,35 - 39,Total HDB^,40
Downtown Core,Total,35 - 39,1- and 2-Room Flats*,-
Downtown Core,Total,35 - 39,3-Room Flats,-
Downtown Core,Total,35 - 39,4-Room Flats,40
Downtown Core,Total,35 - 39,5-Room and Executive Flats,-
Downtown Core,Total,35 - 39,Condominiums and Other Apartments,550
Downtown Core,Total,35 - 39,Landed Properties,-
Downtown Core,Total,35 - 39,Others,30
Downtown Core,Total,40 - 44,Total,560
Downtown Core,Total,40 - 44,Total HDB^,40
Downtown Core,Total,40 - 44,1- and 2-Room Flats*,-
Downtown Core,Total,40 - 44,3-Room Flats,-
Downtown Core,Total,40 - 44,4-Room Flats,40
Downtown Core,Total,40 - 44,5-Room and Executive Flats,-
Downtown Core,Total,40 - 44,Condominiums and Other Apartments,480
Downtown Core,Total,40 - 44,Landed Properties,-
Downtown Core,Total,40 - 44,Others,40
Downtown Core,Total,45 - 49,Total,470
Downtown Core,Total,45 - 49,Total HDB^,30
Downtown Core,Total,45 - 49,1- and 2-Room Flats*,-
Downtown Core,Total,45 - 49,3-Room Flats,-
Downtown Core,Total,45 - 49,4-Room Flats,30
Downtown Core,Total,45 - 49,5-Room and Executive Flats,-
Downtown Core,Total,45 - 49,Condominiums and Other Apartments,410
Downtown Core,Total,45 - 49,Landed Properties,-
Downtown Core,Total,45 - 49,Others,30
Downtown Core,Total,50 - 54,Total,440
Downtown Core,Total,50 - 54,Total HDB^,50
Downtown Core,Total,50 - 54,1- and 2-Room Flats*,-
Downtown Core,Total,50 - 54,3-Room Flats,-
Downtown Core,Total,50 - 54,4-Room Flats,50
Downtown Core,Total,50 - 54,5-Room and Executive Flats,-
Downtown Core,Total,50 - 54,Condominiums and Other Apartments,360
Downtown Core,Total,50 - 54,Landed Properties,-
Downtown Core,Total,50 - 54,Others,40
Downtown Core,Total,55 - 59,Total,320
Downtown Core,Total,55 - 59,Total HDB^,40
Downtown Core,Total,55 - 59,1- and 2-Room Flats*,-
Downtown Core,Total,55 - 59,3-Room Flats,-
Downtown Core,Total,55 - 59,4-Room Flats,40
Downtown Core,Total,55 - 59,5-Room and Executive Flats,-
Downtown Core,Total,55 - 59,Condominiums and Other Apartments,250
Downtown Core,Total,55 - 59,Landed Properties,-
Downtown Core,Total,55 - 59,Others,30
Downtown Core,Total,60 - 64,Total,220
Downtown Core,Total,60 - 64,Total HDB^,40
Downtown Core,Total,60 - 64,1- and 2-Room Flats*,-
Downtown Core,Total,60 - 64,3-Room Flats,-
Downtown Core,Total,60 - 64,4-Room Flats,40
Downtown Core,Total,60 - 64,5-Room and Executive Flats,-
Downtown Core,Total,60 - 64,Condominiums and Other Apartments,160
Downtown Core,Total,60 - 64,Landed Properties,-
Downtown Core,Total,60 - 64,Others,20
Downtown Core,Total,65 - 69,Total,170
Downtown Core,Total,65 - 69,Total HDB^,50
Downtown Core,Total,65 - 69,1- and 2-Room Flats*,-
Downtown Core,Total,65 - 69,3-Room Flats,-
Downtown Core,Total,65 - 69,4-Room Flats,50
Downtown Core,Total,65 - 69,5-Room and Executive Flats,-
Downtown Core,Total,65 - 69,Condominiums and Other Apartments,110
Downtown Core,Total,65 - 69,Landed Properties,-
Downtown Core,Total,65 - 69,Others,20
Downtown Core,Total,70 - 74,Total,140
Downtown Core,Total,70 - 74,Total HDB^,60
Downtown Core,Total,70 - 74,1- and 2-Room Flats*,-
Downtown Core,Total,70 - 74,3-Room Flats,-
Downtown Core,Total,70 - 74,4-Room Flats,60
Downtown Core,Total,70 - 74,5-Room and Executive Flats,-
Downtown Core,Total,70 - 74,Condominiums and Other Apartments,70
Downtown Core,Total,70 - 74,Landed Properties,-
Downtown Core,Total,70 - 74,Others,10
Downtown Core,Total,75 - 79,Total,90
Downtown Core,Total,75 - 79,Total HDB^,50
Downtown Core,Total,75 - 79,1- and 2-Room Flats*,-
Downtown Core,Total,75 - 79,3-Room Flats,-
Downtown Core,Total,75 - 79,4-Room Flats,50
Downtown Core,Total,75 - 79,5-Room and Executive Flats,-
Downtown Core,Total,75 - 79,Condominiums and Other Apartments,30
Downtown Core,Total,75 - 79,Landed Properties,-
Downtown Core,Total,75 - 79,Others,10
Downtown Core,Total,80 - 84,Total,40
Downtown Core,Total,80 - 84,Total HDB^,20
Downtown Core,Total,80 - 84,1- and 2-Room Flats*,-
Downtown Core,Total,80 - 84,3-Room Flats,-
Downtown Core,Total,80 - 84,4-Room Flats,20
Downtown Core,Total,80 - 84,5-Room and Executive Flats,-
Downtown Core,Total,80 - 84,Condominiums and Other Apartments,20
Downtown Core,Total,80 - 84,Landed Properties,-
Downtown Core,Total,80 - 84,Others,-
Downtown Core,Total,85 - 89,Total,30
Downtown Core,Total,85 - 89,Total HDB^,20
Downtown Core,Total,85 - 89,1- and 2-Room Flats*,-
Downtown Core,Total,85 - 89,3-Room Flats,-
Downtown Core,Total,85 - 89,4-Room Flats,20
Downtown Core,Total,85 - 89,5-Room and Executive Flats,-
Downtown Core,Total,85 - 89,Condominiums and Other Apartments,10
Downtown Core,Total,85 - 89,Landed Properties,-
Downtown Core,Total,85 - 89,Others,-
Downtown Core,Total,90 & Over,Total,50
Downtown Core,Total,90 & Over,Total HDB^,10
Downtown Core,Total,90 & Over,1- and 2-Room Flats*,-
Downtown Core,Total,90 & Over,3-Room Flats,-
Downtown Core,Total,90 & Over,4-Room Flats,10
Downtown Core,Total,90 & Over,5-Room and Executive Flats,-
Downtown Core,Total,90 & Over,Condominiums and Other Apartments,-
Downtown Core,Total,90 & Over,Landed Properties,-
Downtown Core,Total,90 & Over,Others,40
Downtown Core,Anson,Total,Total,80
Downtown Core,Anson,Total,Total HDB^,-
Downtown Core,Anson,Total,1- and 2-Room Flats*,-
Downtown Core,Anson,Total,3-Room Flats,-
Downtown Core,Anson,Total,4-Room Flats,-
Downtown Core,Anson,Total,5-Room and Executive Flats,-
Downtown Core,Anson,Total,Condominiums and Other Apartments,-
Downtown Core,Anson,Total,Landed Properties,-
Downtown Core,Anson,Total,Others,-
Downtown Core,Anson,0 - 4,Total,-
Downtown Core,Anson,0 - 4,Total HDB^,-
Downtown Core,Anson,0 - 4,1- and 2-Room Flats*,-
Downtown Core,Anson,0 - 4,3-Room Flats,-
Downtown Core,Anson,0 - 4,4-Room Flats,-
Downtown Core,Anson,0 - 4,5-Room and Executive Flats,-
Downtown Core,Anson,0 - 4,Condominiums and Other Apartments,-
Downtown Core,Anson,0 - 4,Landed Properties,-
Downtown Core,Anson,0 - 4,Others,-
Downtown Core,Anson,5 - 9,Total,-
Downtown Core,Anson,5 - 9,Total HDB^,-
Downtown Core,Anson,5 - 9,1- and 2-Room Flats*,-
Downtown Core,Anson,5 - 9,3-Room Flats,-
Downtown Core,Anson,5 - 9,4-Room Flats,-
Downtown Core,Anson,5 - 9,5-Room and Executive Flats,-
Downtown Core,Anson,5 - 9,Condominiums and Other Apartments,-
Downtown Core,Anson,5 - 9,Landed Properties,-
Downtown Core,Anson,5 - 9,Others,-
Downtown Core,Anson,10 - 14,Total,-
Downtown Core,Anson,10 - 14,Total HDB^,-
Downtown Core,Anson,10 - 14,1- and 2-Room Flats*,-
Downtown Core,Anson,10 - 14,3-Room Flats,-
Downtown Core,Anson,10 - 14,4-Room Flats,-
Downtown Core,Anson,10 - 14,5-Room and Executive Flats,-
Downtown Core,Anson,10 - 14,Condominiums and Other Apartments,-
Downtown Core,Anson,10 - 14,Landed Properties,-
Downtown Core,Anson,10 - 14,Others,-
Downtown Core,Anson,15 - 19,Total,-
Downtown Core,Anson,15 - 19,Total HDB^,-
Downtown Core,Anson,15 - 19,1- and 2-Room Flats*,-
Downtown Core,Anson,15 - 19,3-Room Flats,-
Downtown Core,Anson,15 - 19,4-Room Flats,-
Downtown Core,Anson,15 - 19,5-Room and Executive Flats,-
Downtown Core,Anson,15 - 19,Condominiums and Other Apartments,-
Downtown Core,Anson,15 - 19,Landed Properties,-
Downtown Core,Anson,15 - 19,Others,-
Downtown Core,Anson,20 - 24,Total,-
Downtown Core,Anson,20 - 24,Total HDB^,-
Downtown Core,Anson,20 - 24,1- and 2-Room Flats*,-
Downtown Core,Anson,20 - 24,3-Room Flats,-
Downtown Core,Anson,20 - 24,4-Room Flats,-
Downtown Core,Anson,20 - 24,5-Room and Executive Flats,-
Downtown Core,Anson,20 - 24,Condominiums and Other Apartments,-
Downtown Core,Anson,20 - 24,Landed Properties,-
Downtown Core,Anson,20 - 24,Others,-
Downtown Core,Anson,25 - 29,Total,-
Downtown Core,Anson,25 - 29,Total HDB^,-
Downtown Core,Anson,25 - 29,1- and 2-Room Flats*,-
Downtown Core,Anson,25 - 29,3-Room Flats,-
Downtown Core,Anson,25 - 29,4-Room Flats,-
Downtown Core,Anson,25 - 29,5-Room and Executive Flats,-
Downtown Core,Anson,25 - 29,Condominiums and Other Apartments,-
Downtown Core,Anson,25 - 29,Landed Properties,-
Downtown Core,Anson,25 - 29,Others,-
Downtown Core,Anson,30 - 34,Total,-
Downtown Core,Anson,30 - 34,Total HDB^,-
Downtown Core,Anson,30 - 34,1- and 2-Room Flats*,-
Downtown Core,Anson,30 - 34,3-Room Flats,-
Downtown Core,Anson,30 - 34,4-Room Flats,-
Downtown Core,Anson,30 - 34,5-Room and Executive Flats,-
Downtown Core,Anson,30 - 34,Condominiums and Other Apartments,-
Downtown Core,Anson,30 - 34,Landed Properties,-
Downtown Core,Anson,30 - 34,Others,-
Downtown Core,Anson,35 - 39,Total,-
Downtown Core,Anson,35 - 39,Total HDB^,-
Downtown Core,Anson,35 - 39,1- and 2-Room Flats*,-
Downtown Core,Anson,35 - 39,3-Room Flats,-
Downtown Core,Anson,35 - 39,4-Room Flats,-
Downtown Core,Anson,35 - 39,5-Room and Executive Flats,-
Downtown Core,Anson,35 - 39,Condominiums and Other Apartments,-
Downtown Core,Anson,35 - 39,Landed Properties,-
Downtown Core,Anson,35 - 39,Others,-
Downtown Core,Anson,40 - 44,Total,-
Downtown Core,Anson,40 - 44,Total HDB^,-
Downtown Core,Anson,40 - 44,1- and 2-Room Flats*,-
Downtown Core,Anson,40 - 44,3-Room Flats,-
Downtown Core,Anson,40 - 44,4-Room Flats,-
Downtown Core,Anson,40 - 44,5-Room and Executive Flats,-
Downtown Core,Anson,40 - 44,Condominiums and Other Apartments,-
Downtown Core,Anson,40 - 44,Landed Properties,-
Downtown Core,Anson,40 - 44,Others,-
Downtown Core,Anson,45 - 49,Total,-
Downtown Core,Anson,45 - 49,Total HDB^,-
Downtown Core,Anson,45 - 49,1- and 2-Room Flats*,-
Downtown Core,Anson,45 - 49,3-Room Flats,-
Downtown Core,Anson,45 - 49,4-Room Flats,-
Downtown Core,Anson,45 - 49,5-Room and Executive Flats,-
Downtown Core,Anson,45 - 49,Condominiums and Other Apartments,-
Downtown Core,Anson,45 - 49,Landed Properties,-
Downtown Core,Anson,45 - 49,Others,-
Downtown Core,Anson,50 - 54,Total,-
Downtown Core,Anson,50 - 54,Total HDB^,-
Downtown Core,Anson,50 - 54,1- and 2-Room Flats*,-
Downtown Core,Anson,50 - 54,3-Room Flats,-
Downtown Core,Anson,50 - 54,4-Room Flats,-
Downtown Core,Anson,50 - 54,5-Room and Executive Flats,-
Downtown Core,Anson,50 - 54,Condominiums and Other Apartments,-
Downtown Core,Anson,50 - 54,Landed Properties,-
Downtown Core,Anson,50 - 54,Others,-
Downtown Core,Anson,55 - 59,Total,-
Downtown Core,Anson,55 - 59,Total HDB^,-
Downtown Core,Anson,55 - 59,1- and 2-Room Flats*,-
Downtown Core,Anson,55 - 59,3-Room Flats,-
Downtown Core,Anson,55 - 59,4-Room Flats,-
Downtown Core,Anson,55 - 59,5-Room and Executive Flats,-
Downtown Core,Anson,55 - 59,Condominiums and Other Apartments,-
Downtown Core,Anson,55 - 59,Landed Properties,-
Downtown Core,Anson,55 - 59,Others,-
Downtown Core,Anson,60 - 64,Total,-
Downtown Core,Anson,60 - 64,Total HDB^,-
Downtown Core,Anson,60 - 64,1- and 2-Room Flats*,-
Downtown Core,Anson,60 - 64,3-Room Flats,-
Downtown Core,Anson,60 - 64,4-Room Flats,-
Downtown Core,Anson,60 - 64,5-Room and Executive Flats,-
Downtown Core,Anson,60 - 64,Condominiums and Other Apartments,-
Downtown Core,Anson,60 - 64,Landed Properties,-
Downtown Core,Anson,60 - 64,Others,-
Downtown Core,Anson,65 - 69,Total,-
Downtown Core,Anson,65 - 69,Total HDB^,-
Downtown Core,Anson,65 - 69,1- and 2-Room Flats*,-
Downtown Core,Anson,65 - 69,3-Room Flats,-
Downtown Core,Anson,65 - 69,4-Room Flats,-
Downtown Core,Anson,65 - 69,5-Room and Executive Flats,-
Downtown Core,Anson,65 - 69,Condominiums and Other Apartments,-
Downtown Core,Anson,65 - 69,Landed Properties,-
Downtown Core,Anson,65 - 69,Others,-
Downtown Core,Anson,70 - 74,Total,-
Downtown Core,Anson,70 - 74,Total HDB^,-
Downtown Core,Anson,70 - 74,1- and 2-Room Flats*,-
Downtown Core,Anson,70 - 74,3-Room Flats,-
Downtown Core,Anson,70 - 74,4-Room Flats,-
Downtown Core,Anson,70 - 74,5-Room and Executive Flats,-
Downtown Core,Anson,70 - 74,Condominiums and Other Apartments,-
Downtown Core,Anson,70 - 74,Landed Properties,-
Downtown Core,Anson,70 - 74,Others,-
Downtown Core,Anson,75 - 79,Total,-
Downtown Core,Anson,75 - 79,Total HDB^,-
Downtown Core,Anson,75 - 79,1- and 2-Room Flats*,-
Downtown Core,Anson,75 - 79,3-Room Flats,-
Downtown Core,Anson,75 - 79,4-Room Flats,-
Downtown Core,Anson,75 - 79,5-Room and Executive Flats,-
Downtown Core,Anson,75 - 79,Condominiums and Other Apartments,-
Downtown Core,Anson,75 - 79,Landed Properties,-
Downtown Core,Anson,75 - 79,Others,-
Downtown Core,Anson,80 - 84,Total,-
Downtown Core,Anson,80 - 84,Total HDB^,-
Downtown Core,Anson,80 - 84,1- and 2-Room Flats*,-
Downtown Core,Anson,80 - 84,3-Room Flats,-
Downtown Core,Anson,80 - 84,4-Room Flats,-
Downtown Core,Anson,80 - 84,5-Room and Executive Flats,-
Downtown Core,Anson,80 - 84,Condominiums and Other Apartments,-
Downtown Core,Anson,80 - 84,Landed Properties,-
Downtown Core,Anson,80 - 84,Others,-
Downtown Core,Anson,85 - 89,Total,-
Downtown Core,Anson,85 - 89,Total HDB^,-
Downtown Core,Anson,85 - 89,1- and 2-Room Flats*,-
Downtown Core,Anson,85 - 89,3-Room Flats,-
Downtown Core,Anson,85 - 89,4-Room Flats,-
Downtown Core,Anson,85 - 89,5-Room and Executive Flats,-
Downtown Core,Anson,85 - 89,Condominiums and Other Apartments,-
Downtown Core,Anson,85 - 89,Landed Properties,-
Downtown Core,Anson,85 - 89,Others,-
Downtown Core,Anson,90 & Over,Total,-
Downtown Core,Anson,90 & Over,Total HDB^,-
Downtown Core,Anson,90 & Over,1- and 2-Room Flats*,-
Downtown Core,Anson,90 & Over,3-Room Flats,-
Downtown Core,Anson,90 & Over,4-Room Flats,-
Downtown Core,Anson,90 & Over,5-Room and Executive Flats,-
Downtown Core,Anson,90 & Over,Condominiums and Other Apartments,-
Downtown Core,Anson,90 & Over,Landed Properties,-
Downtown Core,Anson,90 & Over,Others,-
Downtown Core,Bayfront Subzone,Total,Total,-
Downtown Core,Bayfront Subzone,Total,Total HDB^,-
Downtown Core,Bayfront Subzone,Total,1- and 2-Room Flats*,-
Downtown Core,Bayfront Subzone,Total,3-Room Flats,-
Downtown Core,Bayfront Subzone,Total,4-Room Flats,-
Downtown Core,Bayfront Subzone,Total,5-Room and Executive Flats,-
Downtown Core,Bayfront Subzone,Total,Condominiums and Other Apartments,-
Downtown Core,Bayfront Subzone,Total,Landed Properties,-
Downtown Core,Bayfront Subzone,Total,Others,-
Downtown Core,Bayfront Subzone,0 - 4,Total,-
Downtown Core,Bayfront Subzone,0 - 4,Total HDB^,-
Downtown Core,Bayfront Subzone,0 - 4,1- and 2-Room Flats*,-
Downtown Core,Bayfront Subzone,0 - 4,3-Room Flats,-
Downtown Core,Bayfront Subzone,0 - 4,4-Room Flats,-
Downtown Core,Bayfront Subzone,0 - 4,5-Room and Executive Flats,-
Downtown Core,Bayfront Subzone,0 - 4,Condominiums and Other Apartments,-
Downtown Core,Bayfront Subzone,0 - 4,Landed Properties,-
Downtown Core,Bayfront Subzone,0 - 4,Others,-
Downtown Core,Bayfront Subzone,5 - 9,Total,-
Downtown Core,Bayfront Subzone,5 - 9,Total HDB^,-
Downtown Core,Bayfront Subzone,5 - 9,1- and 2-Room Flats*,-
Downtown Core,Bayfront Subzone,5 - 9,3-Room Flats,-
Downtown Core,Bayfront Subzone,5 - 9,4-Room Flats,-
Downtown Core,Bayfront Subzone,5 - 9,5-Room and Executive Flats,-
Downtown Core,Bayfront Subzone,5 - 9,Condominiums and Other Apartments,-
Downtown Core,Bayfront Subzone,5 - 9,Landed Properties,-
Downtown Core,Bayfront Subzone,5 - 9,Others,-
Downtown Core,Bayfront Subzone,10 - 14,Total,-
Downtown Core,Bayfront Subzone,10 - 14,Total HDB^,-
Downtown Core,Bayfront Subzone,10 - 14,1- and 2-Room Flats*,-
Downtown Core,Bayfront Subzone,10 - 14,3-Room Flats,-
Downtown Core,Bayfront Subzone,10 - 14,4-Room Flats,-
Downtown Core,Bayfront Subzone,10 - 14,5-Room and Executive Flats,-
Downtown Core,Bayfront Subzone,10 - 14,Condominiums and Other Apartments,-
Downtown Core,Bayfront Subzone,10 - 14,Landed Properties,-
Downtown Core,Bayfront Subzone,10 - 14,Others,-
Downtown Core,Bayfront Subzone,15 - 19,Total,-
Downtown Core,Bayfront Subzone,15 - 19,Total HDB^,-
Downtown Core,Bayfront Subzone,15 - 19,1- and 2-Room Flats*,-
Downtown Core,Bayfront Subzone,15 - 19,3-Room Flats,-
Downtown Core,Bayfront Subzone,15 - 19,4-Room Flats,-
Downtown Core,Bayfront Subzone,15 - 19,5-Room and Executive Flats,-
Downtown Core,Bayfront Subzone,15 - 19,Condominiums and Other Apartments,-
Downtown Core,Bayfront Subzone,15 - 19,Landed Properties,-
Downtown Core,Bayfront Subzone,15 - 19,Others,-
Downtown Core,Bayfront Subzone,20 - 24,Total,-
Downtown Core,Bayfront Subzone,20 - 24,Total HDB^,-
Downtown Core,Bayfront Subzone,20 - 24,1- and 2-Room Flats*,-
Downtown Core,Bayfront Subzone,20 - 24,3-Room Flats,-
Downtown Core,Bayfront Subzone,20 - 24,4-Room Flats,-
Downtown Core,Bayfront Subzone,20 - 24,5-Room and Executive Flats,-
Downtown Core,Bayfront Subzone,20 - 24,Condominiums and Other Apartments,-
Downtown Core,Bayfront Subzone,20 - 24,Landed Properties,-
Downtown Core,Bayfront Subzone,20 - 24,Others,-
Downtown Core,Bayfront Subzone,25 - 29,Total,-
